,Date,Price,High,Low,Close,Volume,Adj Close
0,5/1/2013,20.6,23.04,20.43,21.8,1974715308,21.8
1,6/1/2013,21.85,22.79,21.2,22.03,1941280776,22.03
2,7/1/2013,22.18,23.22,21.91,22.22,2047770180,22.22
3,8/1/2013,22.4,22.77,21.16,21.19,1338144516,21.19
4,9/1/2013,21.38,22.67,21.37,21.92,1323615060,21.92
5,10/1/2013,22.03,26.06,21.1,25.79,2206771020,25.79
6,11/1/2013,25.82,26.73,25.15,26.52,1049213736,26.52
7,12/1/2013,26.61,28.05,26.25,28.05,1352374272,28.05
8,1/1/2014,27.91,29.69,27.08,29.55,2178287532,29.55
9,2/1/2014,29.51,30.75,28.23,30.42,1620230148,30.42
10,3/1/2014,30.2,30.71,27.58,27.89,1744505748,27.89
11,4/1/2014,28.03,29.42,25.55,26.74,1421285316,26.74
12,5/1/2014,26.71,28.88,25.55,28.58,829136000,28.58
13,6/1/2014,28.49,29.48,27.37,29.23,789784000,29.23
14,7/1/2014,29.38,30.45,28.6,28.98,771666000,28.98
15,8/1/2014,28.93,29.89,28.37,29.12,581574000,29.12
16,9/1/2014,29.15,30.27,28.85,29.42,708502000,29.42
17,10/1/2014,29.34,29.62,25.92,28.39,1109632000,28.39
18,11/1/2014,28.18,28.36,26.96,27.45,595410000,27.45
19,12/1/2014,27.25,27.44,24.86,26.53,1088686000,26.53
20,1/1/2015,26.63,27.27,24.55,26.88,1056926000,26.88
21,2/1/2015,26.72,28.47,26.09,28.13,808386000,28.13
22,3/1/2015,28.35,29.16,27.52,27.74,864144000,27.74
23,4/1/2015,27.74,29.24,26.45,27.44,874900000,27.44
24,5/1/2015,27.53,27.91,26.61,27.27,648434000,27.27
25,6/1/2015,27.44,28.28,26.94,27,704328000,27
26,7/1/2015,27.18,35.67,26.99,32.88,1370858000,32.88
27,8/1/2015,32.88,35.2,29.65,32.39,1106942000,32.39
28,9/1/2015,31.69,34.1,30.89,31.92,871504000,31.92
29,10/1/2015,31.9,37.63,31.56,36.87,1005286000,36.87
30,11/1/2015,36.73,39.15,36.57,38.14,751482000,38.14
31,12/1/2015,38.35,39.93,36.81,38.9,872694000,38.9
32,1/1/2016,38.11,38.46,34.39,38.07,1039984000,38.07
33,2/1/2016,38.56,40.52,34.1,35.86,1352946000,35.86
34,3/1/2016,36.06,38.87,35.2,38.15,853314000,38.15
35,4/1/2016,37.86,39.55,35.16,35.39,933228000,35.39
36,5/1/2016,35.6,37.67,35.2,37.44,682046000,37.44
37,6/1/2016,37.42,37.57,33.63,35.18,839330000,35.18
38,7/1/2016,35.26,40.2,34.95,39.57,653244000,39.57
39,8/1/2016,39.33,40.69,39.25,39.49,577080000,39.49
40,9/1/2016,39.6,40.95,39.17,40.2,630896000,40.2
41,10/1/2016,40.13,41.95,39.81,40.49,707820000,40.49
42,11/1/2016,40.54,40.8,37.18,38.79,967068000,38.79
43,12/1/2016,38.93,41.22,37.67,39.62,687126000,39.62
44,1/1/2017,40.03,43.35,39.84,41.01,736654000,41.01
45,2/1/2017,41.2,42.69,40.6,42.25,529816000,42.25
46,3/1/2017,42.57,43.72,41.22,42.39,691002000,42.39
47,4/1/2017,42.44,46.79,41.73,46.23,574432000,46.23
48,5/1/2017,46.21,49.98,46.04,49.35,707186000,49.35
49,6/1/2017,49.55,50.43,46.48,46.48,881706000,46.48
50,7/1/2017,46.66,50.31,45.77,47.28,838172000,47.28
51,8/1/2017,47.39,47.86,45.93,47.76,656924000,47.76
52,9/1/2017,47.87,48.79,46.23,48.69,592524000,48.69
53,10/1/2017,48.78,53.18,48.1,51.65,737076000,51.65
54,11/1/2017,51.82,54,51.43,51.81,573720000,51.81
55,12/1/2017,51.52,54.32,50.12,52.67,598810000,52.67
56,1/1/2018,52.65,59.9,52.65,59.11,657748000,59.11
57,2/1/2018,58.8,59.37,49.85,55.2,1026814000,55.2
58,3/1/2018,55.48,58.91,49.2,51.86,1042336000,51.86
59,4/1/2018,51.38,54.88,49.71,50.93,984928000,50.93
60,5/1/2018,50.81,55.91,50.39,55,740734000,55
61,6/1/2018,55.64,60.07,55.3,56.46,803684000,56.46
62,7/1/2018,55.77,64.57,55.33,61.36,835654000,61.36
63,8/1/2018,61.96,63.6,60.2,61.59,685718000,61.59
64,9/1/2018,61.13,61.39,57.58,60.35,718518000,60.35
65,10/1/2018,60.65,61.23,50.36,54.53,1130942000,54.53
66,11/1/2018,54.57,55.5,50.11,55.48,786236000,55.48
67,12/1/2018,56.61,56.75,48.88,52.25,857436000,52.25
68,1/1/2019,51.36,56.38,51.12,56.29,697168000,56.29
69,2/1/2019,56.11,57.7,54.68,56.33,652174000,56.33
70,3/1/2019,56.55,61.82,56.51,58.84,663738000,58.84
71,4/1/2019,59.38,64.85,59.15,59.95,647446000,59.95
72,5/1/2019,59.88,59.96,55.17,55.33,742726000,55.33
73,6/1/2019,53.35,56.33,51.35,54.14,712452000,54.14
74,7/1/2019,55.05,63.42,54.77,60.91,715104000,60.91
75,8/1/2019,60.88,61.81,57.14,59.53,586310000,59.53
76,9/1/2019,59.09,62.4,58.19,61.06,517072000,61.06
77,10/1/2019,61.12,64.96,58.16,62.94,603634000,62.94
78,11/1/2019,63.29,66.7,62.99,65.2,528780000,65.2
79,12/1/2019,65.13,68.35,63.85,66.97,559106000,66.97
80,1/1/2020,67.42,75.03,67.32,71.64,673594000,71.64
81,2/1/2020,73.08,76.54,63.41,66.96,830656000,66.96
82,3/1/2020,67.57,70.41,50.44,58.1,1570716000,58.1
83,4/1/2020,56.2,68.01,53.75,67.33,1124224000,67.33
84,5/1/2020,66.2,72.26,64.8,71.68,725130000,71.68
85,6/1/2020,71.29,73.79,67.58,70.9,814160000,70.9
86,7/1/2020,70.96,79.35,70.71,74.4,822998000,74.4
87,8/1/2020,74.55,82.64,73.2,81.48,614564000,81.48
88,9/1/2020,81.61,86.31,70.11,73.28,836634000,73.28
89,10/1/2020,74.18,84.07,71.66,80.81,854920000,80.81
90,11/1/2020,81.18,90.84,80.61,87.72,631912000,87.72
91,12/1/2020,88.33,92.19,84.7,87.63,608630000,87.63
92,1/1/2021,88,96.6,84.81,91.37,791662000,91.37
93,2/1/2021,92.23,107.26,92.23,101.1,678324000,101.1
94,3/1/2021,102.4,105.69,99.7,103.13,756694000,103.13
95,4/1/2021,104.61,121.57,104.57,117.68,702352000,117.68
96,5/1/2021,118.25,119.45,109.68,117.84,603480000,117.84
97,6/1/2021,118.72,123.1,116.48,122.09,544936000,122.09
98,7/1/2021,121.72,138.3,121.53,134.73,610808000,134.73
99,8/1/2021,135.12,145.97,133.32,144.7,461586000,144.7
100,9/1/2021,145,146.25,133.56,133.68,590840000,133.68
101,10/1/2021,134.45,148.65,131.05,148.05,720758000,148.05
102,11/1/2021,148.05,150.97,141.6,141.9,608378000,141.9
103,12/1/2021,144,149.1,139.32,144.85,619694000,144.85
104,1/1/2022,145.05,146.49,124.5,135.3,767206000,135.3
105,2/1/2022,137.59,151.55,124.95,135.06,928126000,135.06
106,3/1/2022,134.88,143.79,125.28,139.07,729162000,139.07
107,4/1/2022,139.5,143.71,112.74,114.11,761152000,114.11
108,5/1/2022,113.4,122.85,101.88,113.76,850450000,113.76
109,6/1/2022,114.86,119.35,105.05,108.96,770754000,108.96
110,7/1/2022,107.93,119.68,104.07,116.32,789529700,116.32
111,8/1/2022,115.3,122.43,107.8,108.22,515852700,108.22
112,9/1/2022,108.28,111.62,95.56,95.65,613278900,95.65
113,10/1/2022,96.76,104.82,91.8,94.51,681488300,94.51
114,11/1/2022,95.45,101.04,83.34,100.99,716522700,100.99
115,12/1/2022,101.02,102.25,85.94,88.23,603127800,88.23
116,1/1/2023,89.59,100.32,84.86,98.84,672897800,98.84
117,2/1/2023,98.71,108.18,88.58,90.06,952580200,90.06
118,3/1/2023,89.98,106.59,89.42,103.73,859911400,103.73
119,4/1/2023,102.39,109.17,101.93,108.87,255598400,108.87
